"IDS","NAME"
876,"magna"
959,"Etiam"
708,"quis"
176,"sapien"
677,"per"
422,"libero"
469,"nunc"
829,"metus"
549,"pellentesque"
503,"hymenaeos"
685,"massa"
604,"eros"
596,"tellus"
790,"sociis"
142,"lacinia"
913,"Donec"
310,"lectus"
178,"orci"
592,"tempor"
813,"inceptos"
603,"tortor"
27,"sociosqu"
993,"justo"
536,"nec"
582,"at"
452,"hendrerit"
24,"sapien"
370,"taciti"
56,"libero"
229,"adipiscing"
781,"Duis"
282,"iaculis"
151,"natoque"
273,"Integer"
240,"quam"
410,"blandit"
73,"augue"
359,"Pellentesque"
84,"accumsan"
895,"tortor"
237,"pharetra"
756,"montes"
490,"Maecenas"
316,"vestibulum"
206,"porttitor"
428,"est"
74,"bibendum"
888,"sapien"
250,"sollicitudin"
768,"nisl"
183,"nec"
698,"Praesent"
304,"auctor"
706,"pharetra"
440,"leo"
994,"varius"
390,"id"
742,"Donec"
314,"vitae"
862,"lobortis"
346,"inceptos"
607,"nostra"
193,"lacinia"
397,"adipiscing"
650,"cubilia"
564,"consequat"
423,"venenatis"
789,"convallis"
81,"quis"
831,"libero"
669,"Praesent"
638,"bibendum"
471,"adipiscing"
612,"aptent"
732,"nisl"
969,"sagittis"
466,"dictum"
465,"Phasellus"
385,"et"
279,"habitant"
900,"fermentum"
117,"eleifend"
547,"massa"
657,"hymenaeos"
147,"amet"
321,"cursus"
477,"Morbi"
386,"nascetur"
932,"sit"
666,"nisl"
36,"malesuada"
70,"lacinia"
116,"parturient"
883,"accumsan"
673,"fermentum"
576,"tristique"
565,"In"
266,"neque"
609,"Donec"
799,"Maecenas"
480,"ullamcorper"
148,"sem"
258,"ligula"
555,"consequat"
906,"penatibus"
1000,"est"
342,"in"
693,"imperdiet"
210,"Cras"
835,"odio"
707,"sollicitudin"
580,"nisi"
20,"velit"
981,"iaculis"
139,"Class"
115,"lacus"
511,"hendrerit"
112,"sem"
161,"pulvinar"
458,"eget"
164,"orci"
69,"vulputate"
636,"nibh"
253,"lacinia"
956,"urna"
31,"vel"
334,"ad"
286,"massa"
793,"nibh"
227,"scelerisque"
774,"dui"
218,"nulla"
796,"viverra"
203,"aptent"
833,"Vestibulum"
91,"porta"
977,"porttitor"
821,"ridiculus"
138,"convallis"
760,"tempus"
826,"Curabitur"
769,"justo"
337,"torquent"
427,"tortor"
989,"Vestibulum"
457,"risus"
632,"Nam"
499,"velit"
270,"ridiculus"
991,"Aliquam"
634,"parturient"
712,"nec"
103,"Aenean"
803,"elit"
733,"non"
513,"convallis"
383,"pulvinar"
275,"cursus"
173,"nisi"
492,"pharetra"
939,"ullamcorper"
453,"Curae"
873,"ornare"
871,"sed"
48,"Class"
41,"nulla"
670,"magnis"
861,"placerat"
957,"Phasellus"
597,"Quisque"
0,"Quisque"
509,"Phasellus"
389,"Fusce"
556,"vulputate"
651,"Donec"
231,"facilisi"
749,"vehicula"
967,"felis"
125,"iaculis"
301,"magna"
701,"venenatis"
779,"taciti"
152,"sed"
897,"sociis"
3,"habitant"
899,"fringilla"
695,"Fusce"
573,"arcu"
347,"Mauris"
710,"laoreet"
177,"Nam"
884,"eget"
615,"posuere"
365,"interdum"
358,"nulla"
47,"varius"
700,"libero"
49,"rutrum"
132,"conubia"
678,"diam"
578,"massa"
735,"malesuada"
734,"cursus"
982,"bibendum"
387,"scelerisque"
738,"sapien"
968,"Maecenas"
376,"Curae"
32,"lectus"
284,"et"
697,"nulla"
393,"scelerisque"
910,"nostra"
764,"vitae"
300,"iaculis"
937,"iaculis"
228,"tristique"
366,"sem"
647,"dignissim"
541,"metus"
529,"lobortis"
929,"mattis"
562,"suscipit"
902,"Aenean"
307,"tempus"
88,"sit"
938,"ipsum"
637,"odio"
494,"aliquet"
915,"nibh"
432,"risus"
107,"Aliquam"
754,"nibh"
287,"ut"
648,"posuere"
333,"nec"
546,"nostra"
169,"a"
455,"lacus"
975,"Curae"
683,"ligula"
907,"Aliquam"
167,"venenatis"
827,"placerat"
681,"Nunc"
620,"Nullam"
810,"porta"
892,"viverra"
747,"quis"
296,"fermentum"
841,"Aenean"
525,"sollicitudin"
478,"montes"
25,"penatibus"
715,"pharetra"
830,"scelerisque"
379,"est"
577,"aliquam"
380,"ut"
367,"pellentesque"
923,"rutrum"
9,"nibh"
353,"quam"
336,"luctus"
658,"ullamcorper"
611,"ullamcorper"
174,"pretium"
230,"porta"
590,"rutrum"
553,"sodales"
175,"vitae"
98,"ultrices"
322,"id"
777,"tempor"
141,"accumsan"
976,"facilisi"
264,"tempor"
971,"vestibulum"
312,"aliquet"
276,"montes"
958,"eu"
205,"diam"
278,"id"
877,"dui"
8,"ultricies"
202,"elementum"
219,"nostra"
823,"facilisis"
627,"tempor"
416,"sem"
652,"Quisque"
557,"consectetuer"
217,"hymenaeos"
943,"Suspendisse"
442,"vel"
664,"consectetuer"
856,"orci"
61,"tincidunt"
593,"aliquet"
37,"Nam"
886,"eu"
145,"Nulla"
516,"eget"
600,"adipiscing"
79,"gravida"
920,"vehicula"
184,"elementum"
917,"parturient"
512,"nec"
782,"nisl"
528,"sollicitudin"
59,"facilisis"
156,"nec"
798,"sollicitudin"
357,"non"
940,"molestie"
221,"vel"
236,"eleifend"
378,"Suspendisse"
245,"Vivamus"
505,"ante"
111,"Nulla"
62,"Phasellus"
724,"nisi"
76,"sociis"
598,"Etiam"
990,"pellentesque"
60,"fringilla"
64,"aliquam"
430,"neque"
965,"Phasellus"
665,"sagittis"
433,"aliquam"
998,"rutrum"
571,"facilisi"
13,"morbi"
572,"ornare"
599,"montes"
90,"Maecenas"
521,"ante"
601,"vulputate"
212,"lobortis"
948,"senectus"
52,"congue"
454,"consectetuer"
946,"neque"
726,"bibendum"
121,"Praesent"
243,"arcu"
568,"libero"
441,"dui"
392,"Mauris"
306,"Vivamus"
563,"tempor"
545,"ornare"
999,"iaculis"
182,"eget"
891,"odio"
548,"imperdiet"
608,"Nullam"
820,"pharetra"
931,"augue"
951,"consequat"
881,"dui"
277,"primis"
628,"imperdiet"
255,"gravida"
444,"hymenaeos"
402,"Nam"
544,"ridiculus"
39,"magna"
912,"eu"
439,"pulvinar"
403,"Proin"
331,"ultricies"
246,"feugiat"
326,"porta"
792,"habitant"
595,"torquent"
570,"Curabitur"
407,"pretium"
846,"Mauris"
447,"ridiculus"
674,"penatibus"
585,"turpis"
983,"nascetur"
154,"eros"
6,"hymenaeos"
395,"molestie"
105,"fames"
921,"blandit"
741,"nascetur"
17,"facilisi"
752,"sociosqu"
661,"et"
100,"ac"
817,"urna"
618,"nunc"
750,"sociosqu"
795,"sapien"
828,"risus"
57,"enim"
964,"consectetuer"
272,"inceptos"
127,"Nulla"
720,"senectus"
77,"gravida"
63,"sem"
737,"ornare"
542,"parturient"
487,"in"
942,"libero"
755,"ornare"
908,"ante"
980,"lacus"
633,"justo"
162,"Nunc"
43,"bibendum"
302,"sapien"
448,"dapibus"
740,"sit"
104,"dolor"
617,"posuere"
766,"posuere"
543,"sit"
350,"consectetuer"
133,"pharetra"
914,"consectetuer"
185,"posuere"
887,"felis"
22,"senectus"
247,"laoreet"
126,"tincidunt"
163,"commodo"
771,"Praesent"
274,"a"
44,"eget"
814,"vestibulum"
325,"sagittis"
640,"viverra"
106,"nisi"
630,"malesuada"
335,"lorem"
